nbSyll,pron,origin,warning,remarques,POS,lineId,pageId,IPA,MotVedette,hwd,pronSampa,ipa,sizePron
3,aʹbăcus,,,,n.,2.0,19,,abacus,abacus,{ b @ k @ s,æbəkəs,7
3,ābăʹndon,F.,,,v.,5.0,19,,abandon,abandon,@ b { n d @ n,əbændən,8
4,ābăʹndŏned,,,,a.,6.0,19,,abandoned,abandoned,@ b { n d @ n d,əbændənd,10
2,ăbăʹſh,F.,,,v.,9.0,19,,abash,abash,@ b { S,əbæʃ,6
2,ăbāʹte,F.,,,v.,10.0,19,,abate,abate,@ b eI t,əb?t,6
3,ăbāʹt_e_ment,F.,,,n.,11.0,19,,abatement,abatement,@ b eI t m @ n t,əb?tmənt,12
2,ăʹbbey,,,,n.,13.0,19,,abbey,abbey,{ b i:,æbiː,6
2,ăʹbbŏt,,,,n.,14.0,19,,abbot,abbot,{ b @ t,æbət,6
4,ăbbrĕʹvĭāte,L.,,,v.,15.0,19,,abbreviate,abbreviate,@ b r\ i: v i: eI t,əbɹiːviː?t,11
6,ăbbrevĭāʹtion,L.,,,n.,16.0,19,,abbreviation,abbreviation,@ b r\ i: v i: eI S @ n,əbɹiːviː?ʃən,13
3,ăʹbdicāte,L.,,,v.,17.0,19,,abdicate,abdicate,{ b d @ k eI t,æbdək?t,9
3,ăbdōʹmen,,,,n.,18.0,19,,abdomen,abdomen,{ b d @U m @ n,æbdoʊmən,8
2,ăbĕʹt,,,,v.,19.0,19,,abet,abet,@ b E t,əbɛt,5
3,ăbeʹyănce,F.,,,n.,22.0,19,,abeyance,abeyance,@ b eI @ n s,əb?əns,9
2,ăbhŏʹr,L.,,,v.,23.0,19,,abhor,abhor,{ b h O: r\,æbhOːɹ,6
3,ăbhŏʹrrence,,,,n.,24.0,19,,abhorrence,abhorrence,@ b h O: r\ @ n s,əbhOːɹəns,11
2,ābīʹde,,,,v.,25.0,19,,abide,abide,@ b aI d,əb?d,6
2,ăʹbject,L.,,,a.,26.0,19,,abject,abject,{ b dZ E k t,æb?ɛkt,7
4,abĭʹlĭty,,,,n.,27.0,19,,ability,ability,@ b I l @ 4 i:,əbɪləɾiː,8
2,ăʹboard,,,,p.,36.0,19,,aboard,aboard,@ b O: r\ d,əbOːɹd,7
2,ābōʹde,,,,n.,37.0,19,,abode,abode,@ b @U d,əboʊd,6
3,ăbŏʹlĭſh,L.,,,v.,2.0,20,,abolish,abolish,@ b A l i S,əbɑliʃ,8
4,ăbŏʹmĭnāte,L.,,,v.,3.0,20,,abominate,abominate,@ b A m @ n eI t,əbɑmən?t,10
